GEOID,business_count,landuse_mix_score
06075010101,2,1
06075010102,1,1
06075010202,1,1
06075010500,3,2
06075011102,1,1
06075011700,26,3
06075012202,1,1
06075012301,1,1
06075012302,1,1
06075012405,2,1
06075012601,2,1
06075012602,1,1
06075015100,2,1
06075015701,1,1
06075015702,1,1
06075015801,1,1
06075015900,1,1
06075016000,1,1
06075016400,4,2
06075017602,1,1
06075017603,4,1
06075017604,2,1
06075017700,8,1
06075017801,2,1
06075017803,3,2
06075017804,1,1
06075018000,2,2
06075020101,5,3
06075020201,1,1
06075020202,1,1
06075020702,1,1
06075020801,2,1
06075020802,3,2
06075020900,2,2
06075022600,18,1
06075022702,3,1
06075022801,2,2
06075022802,1,1
06075022901,2,2
06075022902,1,1
06075022903,1,1
06075023001,1,1
06075023103,3,1
06075023200,28,1
06075023300,4,2
06075023400,15,2
06075025200,1,1
06075025403,1,1
06075025502,1,1
06075026100,1,1
06075026201,1,1
06075026302,2,1
06075026403,2,1
06075031201,1,1
06075032901,1,1
06075033001,1,1
06075033201,1,1
06075035300,1,1
06075060400,2,1
06075060701,8,2
06075060702,3,1
06075060703,3,2
06075061000,6,1
06075061101,1,1
06075061200,2,1
06075061401,1,1
06075061402,6,1
06075061501,16,3
06075061502,2,1
06075061503,5,1
06075061506,2,1
06075061507,3,2
06075980900,34,3
