id,lat,lon,poi_category,poi_subcategory,poi_name,GEOID
61675193,37.7721282,-122.4227728,amenity,bar,Martuni's,06075020202
61690921,37.7969638,-122.4056426,amenity,bar,Comstock Saloon,06075061101
281652642,37.7595434,-122.4141826,amenity,school,John O'Connell High School,06075022801
286898816,37.7473791,-122.4138441,amenity,school,Saint Anthony - Immaculate Conception,06075025200
293573361,37.7923271,-122.4346848,amenity,cafe,Blue Bottle,06075013500
293632937,37.7767776,-122.3940709,shop,supermarket,Safeway,06075060703
317081666,37.7862572,-122.4086732,amenity,bar,John Foley's Dueling Piano Bar,06075012301
317124812,37.7795947,-122.3951729,amenity,cafe,Brickhouse Cafe and Bar,06075018000
317129230,37.7769117,-122.393795,amenity,bank,Wells Fargo,06075060703
331389010,37.7986732,-122.4072962,amenity,cafe,Caffe Trieste,06075010600
332730973,37.786217,-122.453191,amenity,cafe,Starbucks,06075015402
332730993,37.7866119,-122.4504574,amenity,cafe,Peet's Coffee,06075015402
332787306,37.786265,-122.4528047,shop,supermarket,Calmart,06075015402
332787308,37.7870938,-122.4563869,amenity,cafe,Picnix Bistro,06075013300
334973993,37.7994006,-122.4086568,amenity,bank,BMO,06075010600
335443049,37.7935766,-122.403101,amenity,bank,Citibank,06075011700
335444374,37.7908279,-122.4025161,amenity,cafe,Peet's Coffee,06075011700
335444675,37.7899212,-122.402012,amenity,bank,Union Bank of California,06075011700
340235848,37.7887072,-122.401768,amenity,bank,Bank of America,06075061501
351963628,37.7866169,-122.414982,amenity,cafe,Angel Cafe & Deli,06075012204
358761032,37.7802073,-122.4463603,amenity,school,Anza School,06075015702
358762994,37.7106428,-122.4006765,amenity,school,Candlestick Cove School,06075061000
358764041,37.7246535,-122.417749,amenity,place_of_worship,Convent of the Good Shepherd,06075025900
358766258,37.7349307,-122.4008042,amenity,school,Fremont School,06075023001
358766262,37.7774296,-122.4410824,amenity,school,Fremont School,06075015802
358766707,37.792429,-122.4255268,amenity,school,Gough School,06075013101
358766787,37.7924291,-122.4444159,amenity,school,Grant School,06075013200
358766976,37.7101499,-122.4340763,amenity,school,Guadalupe Elementary School,06075026302
358767935,37.7304863,-122.379415,amenity,school,Hunters Point Number Two School,06075023103
358768537,37.7369365,-122.4215447,amenity,school,Junipero Serra Elementary School,06075025401
358769656,37.7749296,-122.4341379,amenity,school,Lombard School,06075016400
358769706,37.7104876,-122.4471941,amenity,school,Longfellow Elementary School,06075026303
358770978,37.7254741,-122.4302537,amenity,school,Monroe Elementary School,06075026001
358771812,37.7570398,-122.4126788,amenity,school,George Moscone Elementary,06075022803
358772496,37.7365975,-122.4133043,amenity,school,Paul Revere Elementary School,06075025402
358803209,37.7704381,-122.4226263,amenity,place_of_worship,San Francisco Baha'i Center,06075020202
358803214,37.7747236,-122.4414678,amenity,place_of_worship,Brahma Kumaris Meditation Center,06075016500
358803226,37.7922489,-122.4136318,amenity,school,Cathedral School for Boys,06075011200
358803230,37.7916368,-122.4139404,amenity,place_of_worship,Chapel of Grace,06075011200
358803237,37.790207,-122.4463604,amenity,place_of_worship,Church of the New Jerusalem,06075013300
358803242,37.79104,-122.4060821,amenity,university,Cogswell College,06075011700
358803243,37.7546523,-122.4199709,amenity,school,Collegio De La Mission,06075020900
358803269,37.7852092,-122.4232955,amenity,place_of_worship,First Unitarian Universalist Church,06075015100
358803337,37.7879847,-122.4271935,amenity,place_of_worship,Morning Star Church,06075015201
358803343,37.7931024,-122.4071833,amenity,school,Nam Kue School,06075011800
358803353,37.7780026,-122.430938,amenity,place_of_worship,Old Holy Virgin Russian Orthodox Cathedral,06075016101
358803374,37.7877204,-122.4213653,amenity,place_of_worship,Apostolic Faith Church,06075012001
358803375,37.7798212,-122.4267343,amenity,place_of_worship,Bethel African Methodist Episcopal Church,06075016102
358803384,37.7460417,-122.4380266,amenity,place_of_worship,Saint Aidans Episcopal Church,06075021600
358803458,37.7948868,-122.4325428,amenity,school,Sarah Dix Hamlin School,06075013200
358803467,37.7734042,-122.4148686,amenity,place_of_worship,Templo Calvario,06075017803
358803472,37.7882624,-122.4246934,amenity,place_of_worship,Trinity Episcopal Church,06075015100
358803485,37.7810161,-122.4141316,amenity,place_of_worship,William Taylor Methodist Church,06075012405
358803505,37.7335085,-122.3889302,amenity,place_of_worship,All Hallows Roman Catholic Church,06075061200
358803515,37.7565062,-122.5052302,amenity,place_of_worship,Assyrian Church of the East,06075035201
358803530,37.7882624,-122.4274713,amenity,school,Binet Montessori School,06075015201
358803532,37.783732,-122.4088701,amenity,language_school,Brandon College,06075012503
358803569,37.7950612,-122.4082615,amenity,place_of_worship,Chinese United Methodist Church,06075011300
358803572,37.7868736,-122.428582,amenity,place_of_worship,Christ United Presbyterian Church,06075015202
358803583,37.7546528,-122.486916,amenity,place_of_worship,Episcopal Church of the Incarnation,06075032902
358803614,37.7574305,-122.4860827,amenity,place_of_worship,Good Shepherd Lutheran Church,06075032602
358803651,37.7778136,-122.4393623,amenity,place_of_worship,Redemption Church,06075015802
358803685,37.7927068,-122.4224712,amenity,place_of_worship,Lutheran Church of the Holy Chapel,06075011001
358803731,37.7827071,-122.4244156,amenity,school,New Learning Schools,06075015900
358803734,37.7765963,-122.4410824,amenity,place_of_worship,New Strangers Home Baptist Church,06075015802
358803743,37.790653,-122.406507,amenity,school,Notre Dame Des Victoires Grammar School,06075011700
358803750,37.7911995,-122.4221469,amenity,place_of_worship,Old First Presbyterian Church,06075011101
